"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"http://127.0.0.1:8000/press","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","0","","305","305","0","100.000","0","0","0","0","0","0","","","","","","1.411","","","","","","1.1","","","","","","http://127.0.0.1:8000/press","2026-01-22 23:50:28"
"http://127.0.0.1:8000/frontend/xx/assets/img/logo.png","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","2.327","","","","","","1.1","","","","","","http://127.0.0.1:8000/frontend/xx/assets/img/logo.png","2026-01-22 23:50:38"
"http://127.0.0.1:8000/assets/img/patients/patient21.jpg","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","2.156","","","","","","1.1","","","","","","http://127.0.0.1:8000/assets/img/patients/patient21.jpg","2026-01-22 23:51:02"
"http://127.0.0.1:8000/doctors/chat-doctor.html","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","1","","66","66","0","21.640","0","0","0","0","0","0","","","","","","1.320","","","","","","1.1","","","","","","http://127.0.0.1:8000/doctors/chat-doctor.html","2026-01-22 23:51:34"
"http://127.0.0.1:8000/storage/https://via.placeholder.com/100x100.png/0033aa?text=voluptas","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","3","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","2.258","","","","","","1.1","","","","","","http://127.0.0.1:8000/storage/https://via.placeholder.com/100x100.png/0033aa?text=voluptas","2026-01-22 23:52:00"
"http://127.0.0.1:8000/doctors/video-call.html","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","1","","66","66","0","21.640","0","0","0","0","0","0","","","","","","0.909","","","","","","1.1","","","","","","http://127.0.0.1:8000/doctors/video-call.html","2026-01-22 23:51:34"
"http://127.0.0.1:8000/doctors/voice-call.html","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","1","","66","66","0","21.640","0","0","0","0","0","0","","","","","","0.447","","","","","","1.1","","","","","","http://127.0.0.1:8000/doctors/voice-call.html","2026-01-22 23:51:34"
"http://127.0.0.1:8000/assets/img/blog/blog-placeholder.jpg","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","2.165","","","","","","1.1","","","","","","http://127.0.0.1:8000/assets/img/blog/blog-placeholder.jpg","2026-01-22 23:51:01"
"http://127.0.0.1:8000/index.html","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","0","","1","1","0","0.330","0","0","0","0","0","0","","","","","","1.416","","","","","","1.1","","","","","","http://127.0.0.1:8000/index.html","2026-01-22 23:51:34"
"http://127.0.0.1:8000/storage/https://via.placeholder.com/100x100.png/009966?text=distinctio","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","3","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","2.043","","","","","","1.1","","","","","","http://127.0.0.1:8000/storage/https://via.placeholder.com/100x100.png/009966?text=distinctio","2026-01-22 23:52:01"
